created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Fri Jan 12 13:10:14 +0000 2024;"1,7458E+18";Mari kita pilih Ganjar Pranowo sebagai Presiden Republik Indonesia pada Pilpres 2024. Ganjar Pranowo adalah pemimpin yang mampu membawa Indonesia menjadi lebih baik.#GanjarMahfudRebound #GanjarPranowoPilihanUmat #JNK;0;0;0;0;in;2580843631;"1,7458E+18";Gmonoona160;https://twitter.com/Gmonoona160/status/1745795320376705471
Fri Jan 12 13:10:13 +0000 2024;"1,7458E+18";Mari kita pilih Ganjar Pranowo sebagai Presiden Republik Indonesia pada Pilpres 2024. Ganjar Pranowo adalah pemimpin yang mampu meningkatkan kualitas pendidikan.#GanjarMahfudRebound #GanjarPranowoPilihanUmat #JNK;0;0;0;0;in;2581243842;"1,7458E+18";gmonoona161;https://twitter.com/gmonoona161/status/1745795315477655952
Fri Jan 12 13:05:15 +0000 2024;"1,74579E+18";Mari kita pilih Ganjar Pranowo sebagai Presiden Republik Indonesia pada Pilpres 2024. Ganjar Pranowo adalah pemimpin yang mampu membawa Indonesia menjadi lebih baik.#GanjarMahfudRebound #GanjarPranowoPilihanUmat #JNK;0;0;0;0;in;2581243842;"1,74579E+18";gmonoona161;https://twitter.com/gmonoona161/status/1745794065185001765
Fri Jan 12 13:05:14 +0000 2024;"1,74579E+18";Mari kita pilih Ganjar Pranowo sebagai Presiden Republik Indonesia pada Pilpres 2024. Ganjar Pranowo adalah pemimpin yang mampu meningkatkan kualitas pendidikan.#GanjarMahfudRebound #GanjarPranowoPilihanUmat #JNK;0;0;0;0;in;2581652522;"1,74579E+18";Gmonoona163;https://twitter.com/Gmonoona163/status/1745794064316809363
Fri Jan 12 13:05:14 +0000 2024;"1,74579E+18";Mari kita pilih Ganjar Pranowo sebagai Presiden Republik Indonesia pada Pilpres 2024. Ganjar Pranowo adalah pemimpin yang mampu meningkatkan daya saing ekonomi.#GanjarMahfudRebound #GanjarPranowoPilihanUmat #JNK;0;0;0;0;in;2581675105;"1,74579E+18";Gmonoona164;https://twitter.com/Gmonoona164/status/1745794061259121069
Fri Jan 12 13:02:46 +0000 2024;"1,74579E+18";Mari kita pilih Ganjar Pranowo sebagai Presiden Republik Indonesia pada Pilpres 2024. Ganjar Pranowo adalah pemimpin yang mampu meningkatkan kualitas pendidikan.#GanjarMahfudRebound #GanjarPranowoPilihanUmat #JNK;0;0;0;0;in;2581675105;"1,74579E+18";Gmonoona164;https://twitter.com/Gmonoona164/status/1745793442138001622
Fri Jan 12 13:02:39 +0000 2024;"1,74579E+18";Mari kita pilih Ganjar Pranowo sebagai Presiden Republik Indonesia pada Pilpres 2024. Ganjar Pranowo adalah pemimpin yang mampu meningkatkan daya saing ekonomi.#GanjarMahfudRebound #GanjarPranowoPilihanUmat #JNK;0;0;0;0;in;2581640022;"1,74579E+18";Gmonoona165;https://twitter.com/Gmonoona165/status/1745793413226680690
Fri Jan 12 13:02:34 +0000 2024;"1,74579E+18";Mari kita pilih Ganjar Pranowo sebagai Presiden Republik Indonesia pada Pilpres 2024. Ganjar Pranowo adalah pemimpin yang mampu membawa Indonesia menjadi lebih baik.#GanjarMahfudRebound #GanjarPranowoPilihanUmat #JNK;0;0;0;0;in;2581652522;"1,74579E+18";Gmonoona163;https://twitter.com/Gmonoona163/status/1745793393383395799
Fri Jan 12 12:55:12 +0000 2024;"1,74579E+18";Mari kita pilih Ganjar Pranowo sebagai Presiden Republik Indonesia pada Pilpres 2024. Ganjar Pranowo adalah pemimpin yang mampu meningkatkan daya saing ekonomi.#GanjarMahfudRebound #GanjarPranowoPilihanUmat #JNK;0;0;0;0;in;2581642986;"1,74579E+18";Gmonoona167;https://twitter.com/Gmonoona167/status/1745791538699932008
Fri Jan 12 12:55:12 +0000 2024;"1,74579E+18";Mari kita pilih Ganjar Pranowo sebagai Presiden Republik Indonesia pada Pilpres 2024. Ganjar Pranowo adalah pemimpin yang mampu membawa Indonesia menjadi lebih baik.#GanjarMahfudRebound #GanjarPranowoPilihanUmat #JNK;0;0;0;0;in;2581675105;"1,74579E+18";Gmonoona164;https://twitter.com/Gmonoona164/status/1745791538267852840
Fri Jan 12 12:55:11 +0000 2024;"1,74579E+18";Mari kita pilih Ganjar Pranowo sebagai Presiden Republik Indonesia pada Pilpres 2024. Ganjar Pranowo adalah pemimpin yang mampu meningkatkan kualitas pendidikan.#GanjarMahfudRebound #GanjarPranowoPilihanUmat #JNK;0;0;0;0;in;2581640022;"1,74579E+18";Gmonoona165;https://twitter.com/Gmonoona165/status/1745791532618166656
Fri Jan 12 12:50:14 +0000 2024;"1,74579E+18";Mari kita pilih Ganjar Pranowo sebagai Presiden Republik Indonesia pada Pilpres 2024. Ganjar Pranowo adalah pemimpin yang mampu meningkatkan kualitas pendidikan.#GanjarMahfudRebound #GanjarPranowoPilihanUmat #JNK;0;0;0;0;in;2581642986;"1,74579E+18";Gmonoona167;https://twitter.com/Gmonoona167/status/1745790286461051205
Fri Jan 12 12:50:12 +0000 2024;"1,74579E+18";Mari kita pilih Ganjar Pranowo sebagai Presiden Republik Indonesia pada Pilpres 2024. Ganjar Pranowo adalah pemimpin yang mampu meningkatkan daya saing ekonomi.#GanjarMahfudRebound #GanjarPranowoPilihanUmat #JNK;0;0;0;0;in;2581677223;"1,74579E+18";Gmonoona168;https://twitter.com/Gmonoona168/status/1745790280710725826
Fri Jan 12 12:50:12 +0000 2024;"1,74579E+18";Mari kita pilih Ganjar Pranowo sebagai Presiden Republik Indonesia pada Pilpres 2024. Ganjar Pranowo adalah pemimpin yang mampu membawa Indonesia menjadi lebih baik.#GanjarMahfudRebound #GanjarPranowoPilihanUmat #JNK;0;0;0;0;in;2581640022;"1,74579E+18";Gmonoona165;https://twitter.com/Gmonoona165/status/1745790280178020581
Fri Jan 12 12:45:14 +0000 2024;"1,74579E+18";Mari kita pilih Ganjar Pranowo sebagai Presiden Republik Indonesia pada Pilpres 2024. Ganjar Pranowo adalah pemimpin yang mampu membawa Indonesia menjadi lebih baik.#GanjarMahfudRebound #GanjarPranowoPilihanUmat #JNK;0;0;0;0;in;2581642986;"1,74579E+18";Gmonoona167;https://twitter.com/Gmonoona167/status/1745789029243600920
Fri Jan 12 12:45:12 +0000 2024;"1,74579E+18";Mari kita pilih Ganjar Pranowo sebagai Presiden Republik Indonesia pada Pilpres 2024. Ganjar Pranowo adalah pemimpin yang mampu meningkatkan kualitas pendidikan.#GanjarMahfudRebound #GanjarPranowoPilihanUmat #JNK;0;0;0;0;in;2581677223;"1,74579E+18";Gmonoona168;https://twitter.com/Gmonoona168/status/1745789022604050817
Fri Jan 12 12:40:12 +0000 2024;"1,74579E+18";Mari kita pilih Ganjar Pranowo sebagai Presiden Republik Indonesia pada Pilpres 2024. Ganjar Pranowo adalah pemimpin yang mampu membawa Indonesia menjadi lebih baik.#GanjarMahfudRebound #GanjarPranowoPilihanUmat #JNK;0;0;0;0;in;2581677223;"1,74579E+18";Gmonoona168;https://twitter.com/Gmonoona168/status/1745787761263530000
Fri Jan 12 12:28:07 +0000 2024;"1,74578E+18";"Kepribadian Ganjar-Mahfud yang sederhana, merakyat seperti Presiden Jokowi ini membuat banyak orang akhirnya menjatuhkan hatinya untuk Ganjar-Mahfud di Pilpres 2024. Sama seperti para diaspora Indonesia di Amerika yang mantap dan solid dukung 03!  #GanjarMahfudApp #ganjarpranowo… https://t.co/d7eE6XofYY";0;0;0;2;in;2366752034;"1,74578E+18";Ganjaran_app;https://twitter.com/Ganjaran_app/status/1745784723618791629
Fri Jan 12 11:22:01 +0000 2024;"1,74577E+18";Khofifah Indar Parawansa Gubernur Jawa Timur (Jatim) yang dukung pasangan calon presiden dan calon wakil presiden nomor urut 2 Prabowo Subianto-Gibran Rakabuming di Pilpres 2024.  https://t.co/ILUgaQh35X  #JumatBerkah https://t.co/AoiDCc3K0y;0;0;0;0;in;"1,74546E+18";"1,74577E+18";PusatInformas1;https://twitter.com/PusatInformas1/status/1745768087029518349
Fri Jan 12 10:51:36 +0000 2024;"1,74576E+18";@JatimDkgGanjar Pilpres tahun 2024 pilih presiden yang membawa perubahan contohnya pak ganjar🔥Ganjar M3mberi Solusi #DialogGanjar;0;2;0;0;in;"1,73199E+18";"1,74575E+18";iciwkar3;https://twitter.com/iciwkar3/status/1745760431699096005
Fri Jan 12 10:40:55 +0000 2024;"1,74576E+18";@liputan6dotcom Pilpres tahun 2024 pilih presiden yang membawa perubahan contohnya pak ganjar🔥;0;0;0;0;in;"1,72866E+18";"1,74569E+18";sumbuli88;https://twitter.com/sumbuli88/status/1745757743624110360
Fri Jan 12 10:33:33 +0000 2024;"1,74576E+18";@liputan6dotcom Pilpres tahun 2024 pilih presiden yang membawa perubahan contohnya pak ganjar🔥;0;0;0;0;in;"1,60769E+18";"1,74571E+18";lastynx;https://twitter.com/lastynx/status/1745755889091612715
Fri Jan 12 10:05:34 +0000 2024;"1,74575E+18";@FaGtng @ganjarpranowo Pilpres tahun 2024 pilih presiden yang membawa perubahan contohnya pak ganjar🔥;0;0;1;1;in;"1,60769E+18";"1,74571E+18";lastynx;https://twitter.com/lastynx/status/1745748846242869401
Fri Jan 12 09:52:21 +0000 2024;"1,74575E+18";@B3doel___ @ganjarpranowo Pilpres tahun 2024 pilih presiden yang membawa perubahan contohnya pak ganjar🔥;0;0;0;0;in;"1,60769E+18";"1,7457E+18";lastynx;https://twitter.com/lastynx/status/1745745522215006537
Fri Jan 12 07:00:05 +0000 2024;"1,7457E+18";@detikcom Pilpres tahun 2024 pilih presiden yang membawa perubahan contohnya pak ganjar🔥;0;0;0;0;in;"1,72965E+18";"1,74541E+18";sigitlasmino;https://twitter.com/sigitlasmino/status/1745702171629502764
Fri Jan 12 06:16:06 +0000 2024;"1,74569E+18";"Kata Anies Baswedan, Pilpres 2024 Bukan hanya Pilih Presiden Baru https://t.co/fK0LM3hbOk https://t.co/VRL44oLMuV";0;0;0;0;in;155169715;"1,74569E+18";soloposdotcom;https://twitter.com/soloposdotcom/status/1745691101842043063
Fri Jan 12 04:48:35 +0000 2024;"1,74567E+18";@okezonenews @ganjarpranowo Pilpres tahun 2024 kita harus pilih presiden yang membawa perubahan pak ganjar pranowo pasti menang #LanjutGANsemuamurah;0;0;0;0;in;"1,73217E+18";"1,74559E+18";adiferak;https://twitter.com/adiferak/status/1745669076117295375
Fri Jan 12 04:37:24 +0000 2024;"1,74567E+18";@officialinews_ Pilpres tahun 2024 kita harus pilih presiden yang membawa perubahan pak ganjar pranowo pasti menang #LanjutGANsemuamurah;0;0;0;0;in;"1,73217E+18";"1,74547E+18";adiferak;https://twitter.com/adiferak/status/1745666260988559557
Fri Jan 12 04:23:53 +0000 2024;"1,74566E+18";Mas kok sekarang gak dukung Jokowi ? + Lha Jokowi gak maju di Pilpres 2024 * Tapi kan ada anaknya Gibran maju Cawapres + Gw ini pendukung Jokowi sejak 2012 bukan pendukung Keluarga Jokowi. * Tapi jika Presiden berhalangan diganti Wapres nya + Gw gak tega punya pikiran seperti itu https://t.co/CIC2eVBySa;1;2;2;9;in;"1,31968E+18";"1,74566E+18";DahonoB;https://twitter.com/DahonoB/status/1745662859936452916
Fri Jan 12 03:21:40 +0000 2024;"1,74565E+18";@liputan6dotcom Pilpres tahun 2024 pilih presiden yang membawa perubahan contohnya pak ganjar🔥;0;0;0;0;in;"1,60769E+18";"1,74558E+18";lastynx;https://twitter.com/lastynx/status/1745647203216216432
Fri Jan 12 03:20:22 +0000 2024;"1,74565E+18";@liputan6dotcom Pilpres tahun 2024 kita harus pilih presiden yang membawa perubahan pak ganjar pranowo pasti menang #LanjutGANsemuamurah;0;0;0;0;in;"1,73217E+18";"1,74558E+18";adiferak;https://twitter.com/adiferak/status/1745646877910151538
Fri Jan 12 03:10:45 +0000 2024;"1,74564E+18";@liputan6dotcom Pilpres tahun 2024 kita harus pilih presiden yang membawa perubahan pak ganjar pranowo pasti menang #LanjutGANsemuamurah;0;0;0;0;in;"1,73217E+18";"1,74561E+18";adiferak;https://twitter.com/adiferak/status/1745644456182010308
Fri Jan 12 03:07:34 +0000 2024;"1,74564E+18";SAYANG BANGET KLU ORANG SEKALIBER PAK @aniesbaswedan TIDAK DIDUKUNG UNTUK MENANG PILPRES DAN JADI PRESIDEN INDONESIA 2024.. AYOO RAKYAT INDONESIA BERSATULAH DUKUNG DAN MENANGKAN PASLON 01 💪;0;0;0;0;in;"1,61134E+18";"1,74564E+18";W4444RUGAKI;https://twitter.com/W4444RUGAKI/status/1745643654746873985
Thu Jan 11 23:41:52 +0000 2024;"1,74559E+18";@andryyusuf13 @arinayasmine08 @99propaganda @Bank_Joee_ @bengkeldodo @AditBandit234 @ejaferdiansyah @FirdaSyeban @florieliciouss @G0mb4k @Ndons_Back @Kimberley_2024 Cb blg basi sm peserta @AksiKamisan yg sampai skrg msh berusaha dapetin haknya: kejelasan nasib klg mrk yg jd korban penculikan 98.  Sdh 25thn &amp  negara blm menuntaskan kasusnya. Sdkt empatilah. Masa pelaku kejahatan HAM lo pilih jd presiden? Ada alasan knp dia kalah pilpres 3x.;0;0;0;1;in;381423836;"1,74543E+18";vie_rna;https://twitter.com/vie_rna/status/1745591888508588048
Thu Jan 11 19:55:15 +0000 2024;"1,74553E+18";"Yuk, pilih Calon Presiden RI Ganjar Pranowo jadi Presiden Republik Indonesia di Pilpres 2024. #JNK #JNK #GanjarMahfudRebound #GanjarPranowoPilihanUmat #JNKGanjarRI1GanjarRI1 https://t.co/kNpvRijkZN";0;0;0;0;in;1453213874;"1,74553E+18";waitingforyou97;https://twitter.com/waitingforyou97/status/1745534858120626233
Thu Jan 11 19:45:17 +0000 2024;"1,74553E+18";"Yuk, pilih Calon Presiden RI Ganjar Pranowo jadi Presiden Republik Indonesia di Pilpres 2024. #JNK #JNK #GanjarMahfudRebound #GanjarPranowoPilihanUmat #JNKGanjarRI1GanjarRI1 https://t.co/3AV0KT92mF";0;0;0;0;in;2553770468;"1,74553E+18";gmonoona61;https://twitter.com/gmonoona61/status/1745532350367256648
Thu Jan 11 19:40:15 +0000 2024;"1,74553E+18";"Yuk, pilih Calon Presiden RI Ganjar Pranowo jadi Presiden Republik Indonesia di Pilpres 2024. #JNK #JNK #GanjarMahfudRebound #GanjarPranowoPilihanUmat #JNKGanjarRI1GanjarRI1 https://t.co/y3Bsx6fvaS";0;0;0;0;in;2567520027;"1,74553E+18";TylerStrappOn;https://twitter.com/TylerStrappOn/status/1745531085667131728
Thu Jan 11 19:35:13 +0000 2024;"1,74553E+18";"Yuk, pilih Calon Presiden RI Ganjar Pranowo jadi Presiden Republik Indonesia di Pilpres 2024. #JNK #JNK #GanjarMahfudRebound #GanjarPranowoPilihanUmat #JNKGanjarRI1GanjarRI1 https://t.co/Yqlt70eGI8";0;0;0;0;in;2560852285;"1,74553E+18";gmonoona82;https://twitter.com/gmonoona82/status/1745529817120854273
