"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","image_url","location"
"Mon Jan 22 14:38:02 +0000 2024","1749441294194049212","Jaringan Kiai-Ulama Pasuruan Mantap Dukung Ganjar-Mahfud   #GanjarMahfud2024 #KampanyeAkbar #m3nangtotal #SatSet #TasTes #Pemilu2024 #Pilpres2024 #Kiai #Pesantren #Pasuruan #Jatim  https://t.co/DT6uCOM3Yb","0","0","7","4","in","909641924650270720","1749441294194049212","Ganjar_Mahfud","https://twitter.com/Ganjar_Mahfud/status/1749441294194049212","","Jakarta Capital Region"
"Sat Jan 20 10:28:32 +0000 2024","1748653732018143610","Slank Dukung @ganjarpranowo- @mohmahfudmd pada Pilpres 2024  Slank menyatakan dukungan kepada pasangan Calon Presiden (Capres) Ganjar Pranowo dan Calon Wakil Presiden (Cawapres) Mahfud MD pada Pilpres 2024  yang akan digelar 14 Februari mendatang.  Grup band yang bermarkas di… https://t.co/nsZhXonvOf","2","87","24","248","in","435004096","1748653732018143610","Aryprasetyo85","https://twitter.com/Aryprasetyo85/status/1748653732018143610","https://pbs.twimg.com/media/GER2zbQbMAAiwGH.jpg","Central Java, Indonesia"
"Fri Jan 19 10:57:49 +0000 2024","1748298714199085179","😎Maruarar Sirait: Saya Dukung Prabowo-Gibran di Pilpres 2024 https://t.co/FfYrfbH63u","2","7","40","193","in","119691957","1748298714199085179","aewin86","https://twitter.com/aewin86/status/1748298714199085179","","Jakarta Capital Region"
"Tue Jan 23 17:55:13 +0000 2024","1749853306745217224","ABB-"-Ba" Kalo lo mau yang beda Pilih Ganjar Pranowo MahfudMD di Pilpres 14 Feb 2024. Pastiin Indonesia makin unggul dan maju!#JNK #GanjarMahfudRebound #GanjarPranowoPilihanUmat https://t.co/os8GVE5eef","0","0","0","0","in","333700461","1749853306745217224","momoredd","https://twitter.com/momoredd/status/1749853306745217224","https://pbs.twimg.com/media/GDsDr5lawAArsWG.jpg",""
"Sun Jan 21 02:10:00 +0000 2024","1748890657505099882","Andika Klaim Banyak Pejabat Luar Negeri Dukung Ganjar-Mahfud di Pilpres 2024  #GanjarMahfud #GanjarPranowo #GerakCepat #MahfudMD #IndonesiaUnggul #indonesialebihbaik #GanjarMahfud2024 #GanjarMahfudM3nang  https://t.co/o2kS3QIyXS","1","10","17","84","in","39074801","1748890657505099882","TPNGanjarMahfud","https://twitter.com/TPNGanjarMahfud/status/1748890657505099882","","Jakarta Capital Region"
"Thu Jan 18 00:29:20 +0000 2024","1747778161147040180","Rakyat dan Prabowo ALL IN Dukung Ganjar-Mahfud di Pilpres 2024! https://t.co/ioA6lwLKlv","0","0","0","0","in","471720329","1747778161147040180","adieenugroho","https://twitter.com/adieenugroho/status/1747778161147040180","https://pbs.twimg.com/ext_tw_video_thumb/1747778023485812736/pu/img/nf6wMim-0Ci7Akwq.jpg",""
"Tue Jan 23 19:20:44 +0000 2024","1749874826607776239","Pesta Rakyat Sukoharjo sepakat dukung Ganjar-Mahfud untuk menang pada Pilpres 2024.  Selanjutnya adalah waktunya kalian mendukung Ganjar-Mahfud🤟  #SahabatGanjar #GanjarPranowo #Ganjar #GenerasiGotongRoyong #GanjarPresiden #GanjarUntukSemua #GanjarMahfud2024 #SatSet https://t.co/AdcaJwTXqj","0","0","0","0","in","1366400355366432768","1749874826607776239","awan_mer4h","https://twitter.com/awan_mer4h/status/1749874826607776239","https://pbs.twimg.com/ext_tw_video_thumb/1749874803585187840/pu/img/3F4B9SlJwUrIE5jf.jpg","East Java, Indonesia"
"Fri Jan 19 14:53:54 +0000 2024","1748358126255194277","Himpunan Kerukunan Tani Indonesia Dukung Prabowo-Gibran pada Pilpres 2024 ⁦@hkti⁩ ⁦@prabowo⁩ ⁦@gibran_tweet⁩  https://t.co/BgGn5JA7Bf","3","52","23","104","in","79139422","1748358126255194277","fadlizon","https://twitter.com/fadlizon/status/1748358126255194277","","Indonesia"
"Thu Jan 18 07:35:00 +0000 2024","1747885283654389899","Airlangga Hartarto Ingin 80% Pemilih Partai Golkar Pilih Prabowo-Gibran di Pilpres 2024 https://t.co/QicdGMM144  #partaigolkar #golkarpedia #airlanggahartarto #golkarprabowo #gibranmasukgolkar #kuningkeren #airlanggahartarto https://t.co/fQLlPIxxH2","0","0","4","3","in","1593171387057049600","1747885283654389899","squadgolkar","https://twitter.com/squadgolkar/status/1747885283654389899","https://pbs.twimg.com/media/GEG8ZxtaYAAD4jz.jpg",""
"Sat Jan 20 10:45:00 +0000 2024","1748657873570222121","Grup band Slank resmi mendukung Ganjar-Mahfud di Pilpres 2024. Gitaris Slank  Abdee pun mundur dari Komisaris PT Telkom Indonesia.  https://t.co/hJgR50wQWL","6","14","15","101","in","69183155","1748657873570222121","detikcom","https://twitter.com/detikcom/status/1748657873570222121","","Jakarta, Indonesia"
"Fri Jan 19 17:44:14 +0000 2024","1748400992155271588","Slank Deklarasi Dukung Ganjar-Mahfud di Pilpres 2024 Besok  #GanjarMahfud #GanjarPranowo #GerakCepat #MahfudMD #IndonesiaUnggul #indonesialebihbaik #GanjarMahfud2024 #GanjarMahfudM3nang  https://t.co/QE79QEl7WC","1","13","85","501","in","39074801","1748400992155271588","TPNGanjarMahfud","https://twitter.com/TPNGanjarMahfud/status/1748400992155271588","","Jakarta Capital Region"
"Sat Jan 20 10:49:19 +0000 2024","1748658960817930712","Dukung Pak Ganjar dan Pak Mahfud di Pilpres 2024  Abdee Slank mundur dari komisaris Telkom. Slank M3nangkan Ganjar https://t.co/QoCQ3zYZUZ","0","1","8","16","in","3827798354","1748658960817930712","Marbot_Udien","https://twitter.com/Marbot_Udien/status/1748658960817930712","https://pbs.twimg.com/ext_tw_video_thumb/1748658856102961152/pu/img/cwqPFOYCTi3xi98a.jpg","Kota Pekalongan, Jawa Tengah"
"Thu Jan 18 07:00:17 +0000 2024","1747876546390663394","Hayyoo para pemilih di pilpres 2024... Msh minat milih ganjar - mahfud?? Kl yg waras maah  lepehin paslon nomer 3 &amp; tenggelamkan pdip","1","11","12","24","in","1014162160740528129","1747876546390663394","EricRicaldo","https://twitter.com/EricRicaldo/status/1747876546390663394","","Jakarta Selatan"
